469	Blacks are the scum of society.	-0.736842105	-0.791666667	0.5	1	0.934210526	Black Lives Matter
2018	Vaccinations cause autism.	-0.696969697	-0.842105263	0.5	0.971428571	0.9	Mandatory Vaccination
2206	All Muslims are terrorists.	-0.658536585	-0.941176471	0	0.966666667	0.801626016	War on Terrorism
168	Everyone should own a gun.	-0.65	-0.454545455	0.666666667	0.818181818	0.791666667	Gun Rights
1854	Medical treatments should be only for people that can afford treatments.	-0.64	-0.9	0	0.96969697	0.795151515	Obama Care -- Affordable Health Care Act
116	All Muslims should be regarded as terrorists.	-0.555555556	-0.707317073	0.4	0.875	0.769444444	US Engagement in the Middle East
1983	Journalism focusses on Democrats views.	-0.5	-0.636363636	0.444444444	0.909090909	0.792929293	Media Bias
1029	Humans are meant to be vegan.	-0.5	-0.783783784	0.333333333	0.935483871	0.784946237	Vegetarian & Vegan Lifestyle
1582	Global warming is not real.	-0.5	-1	0	1	0.75	Climate Change
1075	Killing animals is against Gods law.	-0.488372093	-0.5	0.4	0.8	0.697674419	Vegetarian & Vegan Lifestyle
631	Atheists should be banned from schools.	-0.47826087	-0.761904762	0.625	1	0.902173913	Creationism in school curricula
1092	I like cows, so I don't eat them.	-0.473684211	-0.6	0.571428571	1	0.887218045	Vegetarian & Vegan Lifestyle
1042	It is immoral to eat vegetable only.	-0.461538462	-0.8125	0.6	1	0.892307692	Vegetarian & Vegan Lifestyle
770	Gerrymandering is a valid system.	-0.454545455	-0.625	0.8	1	0.945454545	US Electoral System
1346	Women should not be in the army (direct combat forces).	-0.45	-0.675675676	0.5	0.931034483	0.8125	Gender Equality
1098	Meat is bad for humans.	-0.446808511	-0.611111111	0.555555556	1	0.877068558	Vegetarian & Vegan Lifestyle
1031	Using cows for dairy production is cruel.	-0.444444444	-0.8	0.375	1	0.826388889	Vegetarian & Vegan Lifestyle
1125	People should just eat vegetables.	-0.44	-0.483870968	1	0.92	0.9424	Vegetarian & Vegan Lifestyle
1878	Fox News is the only unbiased news source.	-0.44	-0.666666667	0.428571429	0.96	0.8112	Media Bias
2118	Vaccines increase the risk of autism.	-0.428571429	-0.542857143	0.714285714	0.888888889	0.839002268	Mandatory Vaccination
959	Immigrants are bad for the US.	-0.428571429	-0.641025641	0.333333333	0.870967742	0.717357911	US Immigration
1655	Global warming has nothing to do with the change in weather.	-0.423076923	-0.714285714	0.714285714	1	0.917582418	Climate Change
2091	Vaccines are not safe.	-0.423076923	-0.586206897	0.5	0.904761905	0.788003663	Mandatory Vaccination
1697	Climate change was made up by the government to keep people in fear.	-0.416666667	-0.8	0.333333333	0.935483871	0.759856631	Climate Change
925	Immigrants are more often criminals.	-0.411764706	-0.619047619	0.5	0.933333333	0.805882353	US Immigration
1044	Eaiting meat is not healthy.	-0.409090909	-0.588235294	0.363636364	0.888888889	0.733700643	Vegetarian & Vegan Lifestyle
1688	Humans are not responsible for climate change.	-0.404255319	-0.487179487	0.666666667	0.862068966	0.803864025	Climate Change
1449	Children of same-sex couples will turn out gay.	-0.403508772	-0.647058824	0.444444444	0.92	0.778167641	Legalization of Same-sex Marriage
461	The world would be safer without black people.	-0.389830508	-0.619047619	0.571428571	0.885714286	0.789830508	Black Lives Matter
1064	Killing animals is a sin.	-0.384615385	-0.533333333	0.4	0.833333333	0.7	Vegetarian & Vegan Lifestyle
1643	Trump won the election due to his positions on the environment.	-0.37254902	-0.515151515	0.833333333	0.923076923	0.894922071	Climate Change
1335	The wage gap is a made up thing.	-0.371428571	-0.515151515	0.6	0.947368421	0.838195489	Gender Equality
1855	Free health care leads to people not taking care of their health.	-0.366666667	-0.823529412	0.2	0.931034483	0.69954023	Obama Care -- Affordable Health Care Act
1479	There is more domestic abuse in homosexual couples.	-0.358490566	-0.461538462	0.714285714	0.894736842	0.836856292	Legalization of Same-sex Marriage
429	All white people are racist because of their privilege.	-0.358490566	-0.621621622	0.375	0.857142857	0.702493261	Black Lives Matter
237	Handguns are required for symbolic reasons -- as a defence against the state monopoly of power.	-0.35	-0.529411765	0.333333333	0.857142857	0.686904762	Gun Rights
1574	Humans do not have that large of an impact.	-0.347826087	-0.277777778	0.875	0.916666667	0.90307971	Climate Change
1074	It is immoral to kill animals.	-0.346938776	-0.533333333	0.666666667	1	0.891156463	Vegetarian & Vegan Lifestyle
2176	Terrorism is only a problem in the middle east.	-0.346938776	-0.428571429	0.727272727	0.896551724	0.84127695	War on Terrorism
716	The voting age should be changed to 16	-0.346938776	-0.7	0.571428571	0.9375	0.817966472	US Electoral System
737	Voting for an independent candidate only ensures that the Republican will win.	-0.346153846	-0.666666667	0.333333333	0.892857143	0.709935897	US Electoral System
163	Handguns are required for symbolic reasons.	-0.333333333	-0.310344828	0.75	0.9375	0.875	Gun Rights
1717	The middle class should have to pay higher taxes, because they will use more government funds for their healthcare.	-0.333333333	-0.485714286	0.666666667	0.944444444	0.851851852	Obama Care -- Affordable Health Care Act
1407	Gender equality is stupid.	-0.333333333	-0.590909091	0.6	0.9375	0.825	Gender Equality
162	No Guns should be banned.	-0.333333333	-0.45	0.6	0.884615385	0.78974359	Gun Rights
