Every_race_has_experienced_racism. 0 1 0 1 0 0 0 1 0 0 0 0 0 -1 0 1 1 0 0 1 -1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 0 0 1 0 -1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 -1 0 1 -1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 -1 0 0 0 0
Historically_in_the_United_States_there_has_been_discrimination. 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 -1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0
The_Black_lives_matter_movement_is_important. 0 0 0 -1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 -1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 -1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 -1 0
The_Black_Lives_Matter_movement_encourages_racial_hate. 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1 0 0 0 0 -1 -1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 -1 1 1 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 1 -1 0 0 0 -1 0 0 0 0
The_world_needs_to_know_that_blacks_are_also_humans. 0 0 0 0 1 1 0 1 0 1 0 0 0 1 -1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 -1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 1 0 0 1 1 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
Blacks_have_achieved_a_lot_for_the_whole_society. 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
Black_lives_matter_calls_for_violence_against_police. 0 0 0 0 -1 0 0 0 0 0 -1 0 0 1 -1 0 0 -1 0 0 0 1 1 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 1 0 -1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 0 0 -1 -1 0 1 0 0 0 0 0 -1 0 -1 0 0 0 0 0 0 0 1 -1 0 0 -1 0 0 -1 0 0 1 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 -1 0 1 0 0 0
All_white_people_are_racist_because_of_their_privilege. 0 1 0 0 -1 0 0 -1 -1 1 0 0 0 0 1 1 -1 0 0 -1 0 0 0 -1 1 -1 -1 0 0 0 0 0 -1 0 0 0 0 0 1 1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 -1 0 -1 0 1 0 1 -1 0 -1 -1 0 0 0 0 -1 0 -1 0 0 0 -1 -1 0 0 0 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1 0 0 1 0 0 0 0 0 -1 0 0 0 0 -1 0 0 -1 1 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 -1 0 0 0 0 0 0 -1 0
Police_racial_profiling_reduces_minorities_to_the_status_of_second_class_citizens. 0 0 0 0 0 1 0 -1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 -1 0 0 0 0 0 0 0 1 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 -1 1 0 0 0 0 0 1 0 1 1 -1 -1 1 0 0 0 0 -1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 -1 0 0 -1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 -1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1
We_can_all_make_a_better_world_if_we_work_together. 0 0 1 0 0 1 0 1 0 0 0 0 0 -1 0 0 1 -1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1
