comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_0	0.12386156648451731 0.10746812386156648 0.12386156648451731 0.09107468123861566 0.09107468123861566 0.09107468123861566 0.12386156648451731 0.15664845173041894 0.09107468123861566 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_1	0.11623931623931624 0.08547008547008547 0.147008547008547 0.10085470085470086 0.11623931623931624 0.08547008547008547 0.13162393162393163 0.10085470085470086 0.11623931623931624 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_2	0.0829817158931083 0.13361462728551335 0.10829817158931082 0.0829817158931083 0.14627285513361463 0.10829817158931082 0.13361462728551335 0.09563994374120956 0.10829817158931082 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_3	0.10101010101010101 0.10101010101010101 0.10101010101010101 0.10101010101010101 0.10101010101010101 0.11919191919191918 0.17373737373737375 0.10101010101010101 0.10101010101010101 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_4	0.12050078247261345 0.1486697965571205 0.1486697965571205 0.13458528951486698 0.07824726134585289 0.10641627543035993 0.07824726134585289 0.09233176838810642 0.09233176838810642 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_5	0.10101010101010101 0.10101010101010101 0.11919191919191918 0.11919191919191918 0.10101010101010101 0.10101010101010101 0.10101010101010101 0.13737373737373737 0.11919191919191918 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_6	0.11706349206349206 0.0992063492063492 0.11706349206349206 0.0992063492063492 0.11706349206349206 0.0992063492063492 0.15277777777777776 0.0992063492063492 0.0992063492063492 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_7	0.10101010101010101 0.10101010101010101 0.10101010101010101 0.10101010101010101 0.10101010101010101 0.11919191919191918 0.17373737373737375 0.10101010101010101 0.10101010101010101 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_8	0.10101010101010101 0.10101010101010101 0.10101010101010101 0.13737373737373737 0.11919191919191918 0.10101010101010101 0.13737373737373737 0.10101010101010101 0.10101010101010101 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_9	0.08417508417508417 0.08417508417508417 0.12962962962962962 0.09932659932659932 0.09932659932659932 0.11447811447811447 0.11447811447811447 0.19023569023569023 0.08417508417508417 
comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_comments_watch%3Fv=QkW-0ewjiJw_reordered.txt_10	0.0992063492063492 0.0992063492063492 0.11706349206349206 0.11706349206349206 0.0992063492063492 0.11706349206349206 0.11706349206349206 0.0992063492063492 0.1349206349206349 
